field_id,scan_id,latitude,longitude,boat_count,mean_confidence,location_name,country,detection_weights,detection_date,enriched_place_name,enrichment_status,prospect_id,needs_review
1,1,41.62083083057262,-70.3945315776765,51,0.8114755667892157,"97 Bridge St, Osterville, MA 02655, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Harbor Point Marina,exported,1,0
2,1,41.618750236150554,-70.3926958813205,11,0.7859996448863636,"JJ94+GW Barnstable, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,East Bay Yacht Club,exported,2,0
3,1,41.61709682488844,-70.39219370080754,12,0.6739705403645834,"299 Eel River Rd, Osterville, MA 02655, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,East Bay Yacht Club,exported,2,0
4,1,41.61530019096092,-70.3915019509914,5,0.64169921875,"339 Eel River Rd, Osterville, MA 02655, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Harbor Point Marina,exported,1,0
5,1,44.63420733910298,-67.29530037372051,6,0.497314453125,"JPM3+MV Cutler, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,East Bay Yacht Club,exported,2,0
6,1,44.632452109018914,-67.29436208539359,4,0.46087646484375,"JPJ4+X7 Cutler, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
7,1,44.63239642908162,-67.29220249794295,4,0.35174560546875,"JPJ5+X4 Cutler, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
8,1,42.58072724286983,-70.66809975319828,4,0.674072265625,"H8JJ+7Q Gloucester, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Eastern Point Yacht Club,exported,6,1
9,1,42.57893054093589,-70.66566099976373,4,0.6475830078125,"H8HM+HP Gloucester, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Eastern Point Yacht Club,exported,6,1
10,1,42.582594342227594,-70.66548867695519,5,0.65283203125,"125 Eastern Point Blvd, Gloucester, MA 01930, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Eastern Point Yacht Club,exported,6,1
11,1,42.58072823022861,-70.66321956426341,4,0.6187744140625,"135 Eastern Point Blvd, Gloucester, MA 01930, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Eastern Point Yacht Club,exported,6,1
12,1,42.580729217662736,-70.66565965888432,4,0.6368408203125,"133 Eastern Point Blvd, Gloucester, MA 01930, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Eastern Point Yacht Club,exported,6,1
13,1,44.42921558609149,-69.00622703515448,110,0.7365289861505682,"2 Pinchy Ln, Belfast, ME 04915, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Safe Harbor Front Street,exported,11,1
14,1,44.42646895019074,-69.00787519054674,7,0.3717041015625,"163 High St, Belfast, ME 04915, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Safe Harbor Front Street,exported,11,1
15,1,44.349278295873106,-68.54222309684566,5,0.6951171875,"8FX5+P4 Blue Hill, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
16,1,44.351075255839994,-68.54222309684566,15,0.6734375,"9F25+C4 Blue Hill, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
17,1,44.35287247167584,-68.54222309684566,5,0.668701171875,"9F35+44 Blue Hill, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
18,1,41.66596263919315,-70.0648669356763,55,0.7007346413352272,"16 Harbor Rd, Harwich Port, MA 02646, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Stone Horse Yacht Club,exported,13,1
19,1,41.66668383101248,-70.06864279091992,5,0.727734375,"25 Bayview Rd, Harwich Port, MA 02646, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Stone Horse Yacht Club,exported,13,1
20,1,41.662242117888056,-70.0633296197612,5,0.611328125,"MW6P+VM Harwich, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Stone Horse Yacht Club,exported,13,1
21,1,41.66404242521642,-70.06213782709088,4,0.5146484375,"8 Mallard Ln, Harwich, MA 02645, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Stone Horse Yacht Club,exported,13,1
22,1,43.943403788108945,-69.45533885934051,69,0.7291489753170289,"WGVV+9V Bristol, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Padebco Full-Service Boatyard & Custom Boat Builders,exported,17,1
23,1,43.94619811327157,-69.45690324178689,14,0.5566667829241071,"8 Harris Rd, Round Pond, ME 04564, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Padebco Full-Service Boatyard & Custom Boat Builders,exported,17,1
24,1,43.941857810027315,-69.45005732819656,4,0.53179931640625,"WGRX+PX Bristol, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
25,1,43.94006110619523,-69.45255192599198,4,0.46820068359375,"75 Southern Point Rd, Round Pond, ME 04564, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
26,1,41.92993287836885,-70.03129193628315,6,0.6912638346354166,"35 Kendrick Ave, Wellfleet, MA 02667, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Wellfleet Town Pier,exported,19,1
27,1,41.922223634905734,-70.02625684308403,5,0.688671875,"WXCF+VF Wellfleet, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
28,1,41.924044470723935,-70.02633394730069,17,0.5917537913602942,"WXFF+JF Wellfleet, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
29,1,41.92585051732635,-70.02616922421528,6,0.621826171875,"WXGF+8G Wellfleet, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
30,1,43.88162667292324,-69.51338793363362,36,0.6451992458767362,"63 Cozy Cottage Rd, New Harbor, ME 04554, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
31,1,43.88325733165476,-69.51705546121373,5,0.804296875,"VFMM+85 Bristol, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
32,1,43.88099050516392,-69.50919830958021,5,0.56328125,"52 Pinkham Rd, New Harbor, ME 04554, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
33,1,43.87908805501389,-69.5118266084402,4,0.44622802734375,"36 Cozy Cottage Rd, New Harbor, ME 04554, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
34,1,42.56510493888546,-70.7752807190302,7,0.7079380580357143,"48 Proctor St, Manchester-by-the-Sea, MA 01944, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Manchester Yacht Club,exported,20,1
35,1,42.56691524721842,-70.77355106698029,6,0.6488444010416666,"31 Proctor St, Manchester-by-the-Sea, MA 01944, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Manchester Yacht Club,exported,20,1
36,1,42.565107196550755,-70.77213284202318,4,0.5595703125,"2A Smiths Point Rd, Manchester-by-the-Sea, MA 01944, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,skipped,,
37,1,42.66728781443956,-70.62352934229551,50,0.65222900390625,"16 Wharf Rd, Rockport, MA 01966, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,Rockport Granite Pier,exported,22,1
